Epoch: [0][0/329], lr: 0.00010	Time 29.714 (29.714)	Data 19.170 (19.170)	Loss 2.4977 (2.4977)	Prec@1 20.000 (20.000)	Prec@5 40.000 (40.000)
Epoch: [0][20/329], lr: 0.00010	Time 0.184 (1.580)	Data 0.000 (0.913)	Loss 2.1622 (1.9936)	Prec@1 60.000 (28.571)	Prec@5 60.000 (81.905)
Epoch: [0][40/329], lr: 0.00010	Time 0.180 (0.896)	Data 0.000 (0.468)	Loss 1.2671 (1.7859)	Prec@1 40.000 (36.098)	Prec@5 100.000 (87.805)
Epoch: [0][60/329], lr: 0.00010	Time 0.171 (0.661)	Data 0.000 (0.314)	Loss 0.9101 (1.8061)	Prec@1 60.000 (36.393)	Prec@5 100.000 (86.885)
Epoch: [0][80/329], lr: 0.00010	Time 0.183 (0.543)	Data 0.000 (0.237)	Loss 0.8292 (1.7911)	Prec@1 80.000 (35.556)	Prec@5 100.000 (87.407)
Epoch: [0][100/329], lr: 0.00010	Time 0.170 (0.470)	Data 0.000 (0.190)	Loss 1.3735 (1.7893)	Prec@1 40.000 (34.653)	Prec@5 100.000 (87.327)
Epoch: [0][120/329], lr: 0.00010	Time 0.177 (0.422)	Data 0.000 (0.159)	Loss 0.9034 (1.7471)	Prec@1 60.000 (35.537)	Prec@5 100.000 (88.430)
Epoch: [0][140/329], lr: 0.00010	Time 0.174 (0.387)	Data 0.000 (0.136)	Loss 1.6274 (1.7389)	Prec@1 20.000 (36.454)	Prec@5 80.000 (88.085)
Epoch: [0][160/329], lr: 0.00010	Time 0.174 (0.362)	Data 0.000 (0.119)	Loss 1.1071 (1.7000)	Prec@1 40.000 (37.019)	Prec@5 100.000 (89.193)
Epoch: [0][180/329], lr: 0.00010	Time 0.171 (0.341)	Data 0.000 (0.106)	Loss 1.8256 (1.6849)	Prec@1 40.000 (37.017)	Prec@5 80.000 (88.950)
Epoch: [0][200/329], lr: 0.00010	Time 0.175 (0.325)	Data 0.000 (0.095)	Loss 2.1114 (1.6634)	Prec@1 20.000 (37.811)	Prec@5 60.000 (88.856)
Epoch: [0][220/329], lr: 0.00010	Time 0.184 (0.312)	Data 0.000 (0.087)	Loss 2.3385 (1.6595)	Prec@1 20.000 (38.371)	Prec@5 60.000 (89.050)
Epoch: [0][240/329], lr: 0.00010	Time 0.173 (0.301)	Data 0.000 (0.080)	Loss 1.7826 (1.6580)	Prec@1 20.000 (38.423)	Prec@5 60.000 (89.046)
Epoch: [0][260/329], lr: 0.00010	Time 0.182 (0.291)	Data 0.000 (0.074)	Loss 1.1718 (1.6553)	Prec@1 20.000 (38.161)	Prec@5 100.000 (89.119)
Epoch: [0][280/329], lr: 0.00010	Time 0.179 (0.284)	Data 0.000 (0.068)	Loss 1.3890 (1.6412)	Prec@1 40.000 (38.221)	Prec@5 80.000 (89.253)
Epoch: [0][300/329], lr: 0.00010	Time 0.178 (0.277)	Data 0.000 (0.064)	Loss 1.5436 (1.6336)	Prec@1 0.000 (38.339)	Prec@5 100.000 (89.435)
Epoch: [0][320/329], lr: 0.00010	Time 0.179 (0.271)	Data 0.000 (0.060)	Loss 1.0474 (1.6313)	Prec@1 60.000 (38.567)	Prec@5 100.000 (89.470)
Epoch: [1][0/329], lr: 0.00010	Time 19.939 (19.939)	Data 19.742 (19.742)	Loss 1.3713 (1.3713)	Prec@1 40.000 (40.000)	Prec@5 80.000 (80.000)
Epoch: [1][20/329], lr: 0.00010	Time 0.184 (1.120)	Data 0.000 (0.940)	Loss 1.6169 (1.6547)	Prec@1 60.000 (38.095)	Prec@5 80.000 (87.619)
Epoch: [1][40/329], lr: 0.00010	Time 0.174 (0.660)	Data 0.000 (0.482)	Loss 2.5784 (1.5924)	Prec@1 40.000 (40.488)	Prec@5 80.000 (88.293)
Epoch: [1][60/329], lr: 0.00010	Time 0.171 (0.502)	Data 0.000 (0.324)	Loss 0.5183 (1.5519)	Prec@1 100.000 (41.311)	Prec@5 100.000 (90.164)
Epoch: [1][80/329], lr: 0.00010	Time 0.184 (0.422)	Data 0.000 (0.244)	Loss 2.0687 (1.5393)	Prec@1 20.000 (39.012)	Prec@5 100.000 (91.111)
Epoch: [1][100/329], lr: 0.00010	Time 0.172 (0.374)	Data 0.000 (0.195)	Loss 2.1889 (1.5603)	Prec@1 20.000 (38.812)	Prec@5 100.000 (91.287)
Epoch: [1][120/329], lr: 0.00010	Time 0.172 (0.341)	Data 0.000 (0.163)	Loss 1.7910 (1.5561)	Prec@1 40.000 (39.339)	Prec@5 100.000 (91.074)
Epoch: [1][140/329], lr: 0.00010	Time 0.176 (0.318)	Data 0.000 (0.140)	Loss 2.1662 (1.5500)	Prec@1 20.000 (40.000)	Prec@5 80.000 (91.064)
Epoch: [1][160/329], lr: 0.00010	Time 0.182 (0.301)	Data 0.000 (0.123)	Loss 1.3104 (1.5536)	Prec@1 40.000 (40.000)	Prec@5 100.000 (91.429)
Epoch: [1][180/329], lr: 0.00010	Time 0.176 (0.287)	Data 0.000 (0.109)	Loss 1.8027 (1.5599)	Prec@1 40.000 (39.558)	Prec@5 80.000 (90.939)
Epoch: [1][200/329], lr: 0.00010	Time 0.182 (0.276)	Data 0.000 (0.098)	Loss 1.0282 (1.5525)	Prec@1 80.000 (40.000)	Prec@5 100.000 (90.746)
Epoch: [1][220/329], lr: 0.00010	Time 0.174 (0.267)	Data 0.000 (0.089)	Loss 1.7671 (1.5540)	Prec@1 60.000 (40.181)	Prec@5 80.000 (90.950)
Epoch: [1][240/329], lr: 0.00010	Time 0.174 (0.260)	Data 0.000 (0.082)	Loss 1.0083 (1.5526)	Prec@1 40.000 (40.000)	Prec@5 100.000 (91.037)
Epoch: [1][260/329], lr: 0.00010	Time 0.176 (0.254)	Data 0.000 (0.076)	Loss 1.2687 (1.5450)	Prec@1 60.000 (39.847)	Prec@5 100.000 (90.958)
Epoch: [1][280/329], lr: 0.00010	Time 0.183 (0.248)	Data 0.000 (0.070)	Loss 1.3776 (1.5309)	Prec@1 80.000 (40.142)	Prec@5 100.000 (91.174)
Epoch: [1][300/329], lr: 0.00010	Time 0.172 (0.244)	Data 0.000 (0.066)	Loss 2.0025 (1.5240)	Prec@1 0.000 (40.199)	Prec@5 80.000 (91.362)
Epoch: [1][320/329], lr: 0.00010	Time 0.182 (0.240)	Data 0.000 (0.062)	Loss 1.1009 (1.5149)	Prec@1 40.000 (40.374)	Prec@5 100.000 (91.277)
Epoch: [2][0/329], lr: 0.00010	Time 19.612 (19.612)	Data 19.310 (19.310)	Loss 1.7284 (1.7284)	Prec@1 20.000 (20.000)	Prec@5 100.000 (100.000)
Epoch: [2][20/329], lr: 0.00010	Time 0.181 (1.106)	Data 0.000 (0.920)	Loss 0.8125 (1.5791)	Prec@1 60.000 (40.952)	Prec@5 100.000 (91.429)
Epoch: [2][40/329], lr: 0.00010	Time 0.177 (0.655)	Data 0.000 (0.471)	Loss 1.6439 (1.5203)	Prec@1 40.000 (40.000)	Prec@5 80.000 (92.195)
Epoch: [2][60/329], lr: 0.00010	Time 0.183 (0.499)	Data 0.000 (0.317)	Loss 2.5463 (1.4709)	Prec@1 20.000 (41.311)	Prec@5 80.000 (92.459)
Epoch: [2][80/329], lr: 0.00010	Time 0.179 (0.420)	Data 0.000 (0.239)	Loss 0.8972 (1.4540)	Prec@1 60.000 (41.235)	Prec@5 100.000 (92.840)
Epoch: [2][100/329], lr: 0.00010	Time 0.181 (0.372)	Data 0.000 (0.191)	Loss 1.3432 (1.4517)	Prec@1 40.000 (40.792)	Prec@5 80.000 (92.277)
Epoch: [2][120/329], lr: 0.00010	Time 0.173 (0.340)	Data 0.000 (0.160)	Loss 1.1756 (1.4583)	Prec@1 40.000 (41.818)	Prec@5 100.000 (91.736)
Epoch: [2][140/329], lr: 0.00010	Time 0.182 (0.321)	Data 0.000 (0.137)	Loss 1.4833 (1.4546)	Prec@1 40.000 (42.553)	Prec@5 80.000 (91.631)
Epoch: [2][160/329], lr: 0.00010	Time 0.181 (0.303)	Data 0.000 (0.120)	Loss 1.0617 (1.4689)	Prec@1 80.000 (42.484)	Prec@5 80.000 (91.429)
Epoch: [2][180/329], lr: 0.00010	Time 0.188 (0.289)	Data 0.000 (0.107)	Loss 1.6451 (1.4846)	Prec@1 40.000 (41.547)	Prec@5 80.000 (90.939)
Epoch: [2][200/329], lr: 0.00010	Time 0.178 (0.278)	Data 0.000 (0.096)	Loss 0.6616 (1.4752)	Prec@1 80.000 (41.194)	Prec@5 100.000 (91.244)
Epoch: [2][220/329], lr: 0.00010	Time 0.178 (0.269)	Data 0.000 (0.088)	Loss 1.4125 (1.4622)	Prec@1 60.000 (41.357)	Prec@5 80.000 (91.674)
Epoch: [2][240/329], lr: 0.00010	Time 0.178 (0.262)	Data 0.000 (0.080)	Loss 0.5652 (1.4761)	Prec@1 100.000 (40.996)	Prec@5 100.000 (91.203)
Epoch: [2][260/329], lr: 0.00010	Time 0.171 (0.255)	Data 0.000 (0.074)	Loss 2.1120 (1.4904)	Prec@1 0.000 (40.230)	Prec@5 60.000 (90.881)
Epoch: [2][280/329], lr: 0.00010	Time 0.178 (0.250)	Data 0.000 (0.069)	Loss 1.6832 (1.5007)	Prec@1 40.000 (39.359)	Prec@5 80.000 (91.103)
Epoch: [2][300/329], lr: 0.00010	Time 0.177 (0.245)	Data 0.000 (0.064)	Loss 1.1514 (1.4985)	Prec@1 40.000 (39.601)	Prec@5 100.000 (91.296)
Epoch: [2][320/329], lr: 0.00010	Time 0.185 (0.241)	Data 0.000 (0.060)	Loss 1.4657 (1.4889)	Prec@1 40.000 (39.875)	Prec@5 100.000 (91.651)
Epoch: [3][0/329], lr: 0.00010	Time 19.686 (19.686)	Data 19.373 (19.373)	Loss 3.2003 (3.2003)	Prec@1 0.000 (0.000)	Prec@5 40.000 (40.000)
Epoch: [3][20/329], lr: 0.00010	Time 0.186 (1.108)	Data 0.000 (0.923)	Loss 1.7296 (1.5773)	Prec@1 60.000 (41.905)	Prec@5 100.000 (88.571)
Epoch: [3][40/329], lr: 0.00010	Time 0.184 (0.654)	Data 0.000 (0.473)	Loss 2.0017 (1.5024)	Prec@1 20.000 (43.415)	Prec@5 80.000 (91.220)
Epoch: [3][60/329], lr: 0.00010	Time 0.180 (0.498)	Data 0.000 (0.318)	Loss 1.2366 (1.5078)	Prec@1 40.000 (43.279)	Prec@5 100.000 (89.508)
Epoch: [3][80/329], lr: 0.00010	Time 0.184 (0.420)	Data 0.000 (0.239)	Loss 1.1446 (1.4786)	Prec@1 60.000 (44.198)	Prec@5 100.000 (89.383)
Epoch: [3][100/329], lr: 0.00010	Time 0.176 (0.372)	Data 0.000 (0.192)	Loss 1.1885 (1.4788)	Prec@1 40.000 (43.762)	Prec@5 80.000 (88.713)
Epoch: [3][120/329], lr: 0.00010	Time 0.181 (0.340)	Data 0.000 (0.160)	Loss 1.7958 (1.5166)	Prec@1 20.000 (42.149)	Prec@5 60.000 (88.099)
Epoch: [3][140/329], lr: 0.00010	Time 0.183 (0.317)	Data 0.000 (0.138)	Loss 1.8162 (1.5178)	Prec@1 20.000 (41.844)	Prec@5 100.000 (88.085)
Epoch: [3][160/329], lr: 0.00010	Time 0.183 (0.300)	Data 0.000 (0.120)	Loss 0.8346 (1.5148)	Prec@1 40.000 (41.615)	Prec@5 100.000 (88.696)
Epoch: [3][180/329], lr: 0.00010	Time 0.178 (0.287)	Data 0.000 (0.107)	Loss 1.1632 (1.5020)	Prec@1 20.000 (42.099)	Prec@5 100.000 (89.171)
Epoch: [3][200/329], lr: 0.00010	Time 0.178 (0.276)	Data 0.000 (0.096)	Loss 1.3363 (1.4847)	Prec@1 60.000 (43.085)	Prec@5 100.000 (89.453)
Epoch: [3][220/329], lr: 0.00010	Time 0.185 (0.267)	Data 0.000 (0.088)	Loss 0.9652 (1.4767)	Prec@1 60.000 (43.348)	Prec@5 100.000 (89.774)
Epoch: [3][240/329], lr: 0.00010	Time 0.180 (0.260)	Data 0.000 (0.080)	Loss 1.0179 (1.4706)	Prec@1 60.000 (43.237)	Prec@5 80.000 (90.207)
Epoch: [3][260/329], lr: 0.00010	Time 0.180 (0.254)	Data 0.000 (0.074)	Loss 1.3662 (1.4553)	Prec@1 40.000 (43.831)	Prec@5 100.000 (90.575)
Epoch: [3][280/329], lr: 0.00010	Time 0.182 (0.248)	Data 0.000 (0.069)	Loss 1.4637 (1.4549)	Prec@1 20.000 (43.701)	Prec@5 80.000 (90.534)
Epoch: [3][300/329], lr: 0.00010	Time 0.180 (0.244)	Data 0.000 (0.064)	Loss 1.0270 (1.4448)	Prec@1 80.000 (44.053)	Prec@5 100.000 (90.698)
Epoch: [3][320/329], lr: 0.00010	Time 0.182 (0.240)	Data 0.000 (0.060)	Loss 1.7011 (1.4481)	Prec@1 40.000 (44.050)	Prec@5 100.000 (90.592)
Epoch: [4][0/329], lr: 0.00010	Time 19.821 (19.821)	Data 19.619 (19.619)	Loss 1.9812 (1.9812)	Prec@1 40.000 (40.000)	Prec@5 80.000 (80.000)
Epoch: [4][20/329], lr: 0.00010	Time 0.183 (1.116)	Data 0.000 (0.934)	Loss 1.1710 (1.6086)	Prec@1 20.000 (36.190)	Prec@5 100.000 (90.476)
Epoch: [4][40/329], lr: 0.00010	Time 0.184 (0.659)	Data 0.000 (0.479)	Loss 0.6947 (1.5483)	Prec@1 80.000 (38.537)	Prec@5 100.000 (91.220)
Epoch: [4][60/329], lr: 0.00010	Time 0.176 (0.502)	Data 0.000 (0.322)	Loss 0.8038 (1.4414)	Prec@1 80.000 (42.623)	Prec@5 100.000 (92.131)
Epoch: [4][80/329], lr: 0.00010	Time 0.177 (0.422)	Data 0.000 (0.242)	Loss 1.4982 (1.4371)	Prec@1 60.000 (42.716)	Prec@5 80.000 (91.358)
Epoch: [4][100/329], lr: 0.00010	Time 0.183 (0.374)	Data 0.000 (0.194)	Loss 2.5324 (1.4331)	Prec@1 20.000 (44.158)	Prec@5 40.000 (91.089)
Epoch: [4][120/329], lr: 0.00010	Time 0.179 (0.341)	Data 0.000 (0.162)	Loss 1.1125 (1.3945)	Prec@1 40.000 (44.463)	Prec@5 100.000 (91.570)
Epoch: [4][140/329], lr: 0.00010	Time 0.173 (0.318)	Data 0.000 (0.139)	Loss 1.8946 (1.3808)	Prec@1 40.000 (46.383)	Prec@5 80.000 (91.773)
Epoch: [4][160/329], lr: 0.00010	Time 0.174 (0.301)	Data 0.000 (0.122)	Loss 0.9966 (1.3879)	Prec@1 40.000 (46.460)	Prec@5 100.000 (91.429)
Epoch: [4][180/329], lr: 0.00010	Time 0.178 (0.287)	Data 0.000 (0.108)	Loss 1.2009 (1.3965)	Prec@1 80.000 (46.409)	Prec@5 80.000 (91.271)
Epoch: [4][200/329], lr: 0.00010	Time 0.171 (0.276)	Data 0.000 (0.098)	Loss 1.1371 (1.3979)	Prec@1 60.000 (46.468)	Prec@5 100.000 (91.244)
Epoch: [4][220/329], lr: 0.00010	Time 0.182 (0.268)	Data 0.000 (0.089)	Loss 1.9553 (1.3940)	Prec@1 60.000 (46.878)	Prec@5 100.000 (91.403)
Epoch: [4][240/329], lr: 0.00010	Time 0.186 (0.260)	Data 0.000 (0.081)	Loss 1.9431 (1.4055)	Prec@1 60.000 (47.303)	Prec@5 80.000 (91.286)
Epoch: [4][260/329], lr: 0.00010	Time 0.174 (0.254)	Data 0.000 (0.075)	Loss 1.5655 (1.4159)	Prec@1 60.000 (46.820)	Prec@5 100.000 (91.648)
Epoch: [4][280/329], lr: 0.00010	Time 0.170 (0.249)	Data 0.000 (0.070)	Loss 1.5106 (1.4046)	Prec@1 40.000 (46.833)	Prec@5 80.000 (91.815)
Epoch: [4][300/329], lr: 0.00010	Time 0.181 (0.244)	Data 0.000 (0.065)	Loss 1.8813 (1.4039)	Prec@1 20.000 (46.910)	Prec@5 80.000 (91.694)
Epoch: [4][320/329], lr: 0.00010	Time 0.184 (0.240)	Data 0.000 (0.061)	Loss 0.6088 (1.3928)	Prec@1 60.000 (47.103)	Prec@5 100.000 (91.838)
Test: [0/56]	Time 19.565 (19.565)	Loss 0.6967 (0.6967)	Prec@1 60.000 (60.000)	Prec@5 100.000 (100.000)
Test: [20/56]	Time 0.058 (0.989)	Loss 0.7601 (1.2093)	Prec@1 40.000 (55.238)	Prec@5 100.000 (95.238)
Test: [40/56]	Time 0.071 (0.535)	Loss 2.9584 (1.4693)	Prec@1 0.000 (45.854)	Prec@5 80.000 (92.195)
Testing Results: Prec@1 46.570 Prec@5 93.141 Loss 1.42613
Best Prec@1: 46.570

Epoch: [5][0/329], lr: 0.00010	Time 19.704 (19.704)	Data 19.445 (19.445)	Loss 1.6443 (1.6443)	Prec@1 20.000 (20.000)	Prec@5 80.000 (80.000)
Epoch: [5][20/329], lr: 0.00010	Time 0.174 (1.108)	Data 0.000 (0.926)	Loss 1.5892 (1.5365)	Prec@1 20.000 (35.238)	Prec@5 100.000 (89.524)
Epoch: [5][40/329], lr: 0.00010	Time 0.173 (0.654)	Data 0.000 (0.474)	Loss 1.5549 (1.4385)	Prec@1 60.000 (41.951)	Prec@5 100.000 (92.195)
Epoch: [5][60/329], lr: 0.00010	Time 0.180 (0.499)	Data 0.000 (0.319)	Loss 1.6664 (1.4174)	Prec@1 40.000 (44.262)	Prec@5 80.000 (91.475)
Epoch: [5][80/329], lr: 0.00010	Time 0.182 (0.420)	Data 0.000 (0.240)	Loss 1.1383 (1.4146)	Prec@1 20.000 (45.432)	Prec@5 100.000 (91.111)
Epoch: [5][100/329], lr: 0.00010	Time 0.177 (0.372)	Data 0.000 (0.193)	Loss 0.8333 (1.3857)	Prec@1 60.000 (46.139)	Prec@5 100.000 (91.881)
Epoch: [5][120/329], lr: 0.00010	Time 0.174 (0.340)	Data 0.000 (0.161)	Loss 1.4823 (1.3789)	Prec@1 20.000 (45.950)	Prec@5 100.000 (92.231)
Epoch: [5][140/329], lr: 0.00010	Time 0.176 (0.317)	Data 0.000 (0.138)	Loss 1.4427 (1.3967)	Prec@1 80.000 (45.106)	Prec@5 80.000 (91.773)
Epoch: [5][160/329], lr: 0.00010	Time 0.176 (0.300)	Data 0.000 (0.121)	Loss 1.3076 (1.3944)	Prec@1 40.000 (45.590)	Prec@5 100.000 (91.925)
Epoch: [5][180/329], lr: 0.00010	Time 0.172 (0.287)	Data 0.000 (0.108)	Loss 1.6969 (1.3973)	Prec@1 60.000 (45.414)	Prec@5 100.000 (92.044)
Epoch: [5][200/329], lr: 0.00010	Time 0.182 (0.276)	Data 0.000 (0.097)	Loss 0.9299 (1.4046)	Prec@1 60.000 (44.876)	Prec@5 100.000 (92.537)
Epoch: [5][220/329], lr: 0.00010	Time 0.184 (0.267)	Data 0.000 (0.088)	Loss 0.9616 (1.3995)	Prec@1 40.000 (44.706)	Prec@5 100.000 (92.760)
Epoch: [5][240/329], lr: 0.00010	Time 0.182 (0.260)	Data 0.000 (0.081)	Loss 0.6346 (1.3938)	Prec@1 80.000 (44.730)	Prec@5 100.000 (92.863)
Epoch: [5][260/329], lr: 0.00010	Time 0.183 (0.253)	Data 0.000 (0.075)	Loss 1.7218 (1.3925)	Prec@1 40.000 (44.444)	Prec@5 80.000 (93.103)
Epoch: [5][280/329], lr: 0.00010	Time 0.183 (0.248)	Data 0.000 (0.069)	Loss 0.7475 (1.3835)	Prec@1 80.000 (44.626)	Prec@5 100.000 (93.310)
Epoch: [5][300/329], lr: 0.00010	Time 0.182 (0.243)	Data 0.008 (0.065)	Loss 1.5177 (1.3896)	Prec@1 20.000 (44.452)	Prec@5 100.000 (92.957)
Epoch: [5][320/329], lr: 0.00010	Time 0.182 (0.240)	Data 0.000 (0.061)	Loss 2.0857 (1.3895)	Prec@1 20.000 (44.735)	Prec@5 60.000 (92.586)
Epoch: [6][0/329], lr: 0.00010	Time 20.127 (20.127)	Data 19.846 (19.846)	Loss 1.7935 (1.7935)	Prec@1 40.000 (40.000)	Prec@5 80.000 (80.000)
Epoch: [6][20/329], lr: 0.00010	Time 0.179 (1.129)	Data 0.000 (0.945)	Loss 0.7061 (1.1927)	Prec@1 60.000 (52.381)	Prec@5 100.000 (96.190)
Epoch: [6][40/329], lr: 0.00010	Time 0.171 (0.665)	Data 0.000 (0.484)	Loss 0.6591 (1.1244)	Prec@1 60.000 (54.146)	Prec@5 100.000 (96.585)
Epoch: [6][60/329], lr: 0.00010	Time 0.179 (0.506)	Data 0.000 (0.325)	Loss 0.6445 (1.2107)	Prec@1 80.000 (55.082)	Prec@5 100.000 (96.066)
Epoch: [6][80/329], lr: 0.00010	Time 0.176 (0.425)	Data 0.000 (0.245)	Loss 1.8515 (1.2579)	Prec@1 0.000 (52.593)	Prec@5 100.000 (95.062)
Epoch: [6][100/329], lr: 0.00010	Time 0.182 (0.376)	Data 0.000 (0.197)	Loss 1.0040 (1.3226)	Prec@1 80.000 (50.495)	Prec@5 100.000 (94.059)
Epoch: [6][120/329], lr: 0.00010	Time 0.181 (0.343)	Data 0.000 (0.164)	Loss 1.1662 (1.3195)	Prec@1 60.000 (51.074)	Prec@5 80.000 (94.050)
