Epoch: [0][0/385], lr: 0.00010	Time 34.039 (34.039)	Data 19.689 (19.689)	Loss 2.4541 (2.4541)	Prec@1 25.000 (25.000)	Prec@5 75.000 (75.000)
Epoch: [0][20/385], lr: 0.00010	Time 1.190 (2.722)	Data 0.000 (0.938)	Loss 0.8771 (1.7234)	Prec@1 50.000 (45.238)	Prec@5 100.000 (86.905)
Epoch: [0][40/385], lr: 0.00010	Time 1.191 (2.000)	Data 0.000 (0.480)	Loss 1.8136 (1.6691)	Prec@1 0.000 (42.683)	Prec@5 100.000 (85.976)
Epoch: [0][60/385], lr: 0.00010	Time 1.192 (1.757)	Data 0.000 (0.323)	Loss 1.1095 (1.6369)	Prec@1 75.000 (42.623)	Prec@5 100.000 (87.295)
Epoch: [0][80/385], lr: 0.00010	Time 1.194 (1.619)	Data 0.000 (0.243)	Loss 2.4358 (1.6672)	Prec@1 25.000 (40.741)	Prec@5 50.000 (87.037)
Epoch: [0][100/385], lr: 0.00010	Time 1.293 (1.545)	Data 0.000 (0.195)	Loss 2.3229 (1.6770)	Prec@1 25.000 (40.842)	Prec@5 100.000 (87.871)
Epoch: [0][120/385], lr: 0.00010	Time 1.210 (1.495)	Data 0.000 (0.163)	Loss 2.0279 (1.6817)	Prec@1 25.000 (38.223)	Prec@5 100.000 (88.843)
Epoch: [0][140/385], lr: 0.00010	Time 1.212 (1.454)	Data 0.000 (0.140)	Loss 0.8168 (1.6532)	Prec@1 75.000 (37.943)	Prec@5 100.000 (89.716)
Epoch: [0][160/385], lr: 0.00010	Time 1.186 (1.421)	Data 0.000 (0.122)	Loss 2.5145 (1.6566)	Prec@1 25.000 (38.043)	Prec@5 50.000 (89.596)
Epoch: [0][180/385], lr: 0.00010	Time 1.192 (1.397)	Data 0.000 (0.109)	Loss 1.4569 (1.6547)	Prec@1 0.000 (36.602)	Prec@5 100.000 (89.917)
Epoch: [0][200/385], lr: 0.00010	Time 1.304 (1.379)	Data 0.000 (0.098)	Loss 2.4044 (1.6503)	Prec@1 25.000 (37.189)	Prec@5 50.000 (89.303)
Epoch: [0][220/385], lr: 0.00010	Time 1.186 (1.368)	Data 0.000 (0.089)	Loss 1.3912 (1.6240)	Prec@1 0.000 (37.443)	Prec@5 100.000 (89.819)
Epoch: [0][240/385], lr: 0.00010	Time 1.199 (1.354)	Data 0.000 (0.082)	Loss 0.9645 (1.6149)	Prec@1 75.000 (38.071)	Prec@5 100.000 (89.730)
Epoch: [0][260/385], lr: 0.00010	Time 1.197 (1.347)	Data 0.000 (0.076)	Loss 0.9182 (1.6091)	Prec@1 75.000 (38.027)	Prec@5 100.000 (89.559)
