Epoch: [0][0/308], lr: 0.00010	Time 36.965 (36.965)	Data 19.618 (19.618)	Loss 2.4937 (2.4937)	Prec@1 0.000 (0.000)	Prec@5 40.000 (40.000)
Epoch: [0][20/308], lr: 0.00010	Time 0.889 (2.595)	Data 0.000 (0.934)	Loss 2.7494 (1.9360)	Prec@1 20.000 (36.190)	Prec@5 60.000 (80.952)
Epoch: [0][40/308], lr: 0.00010	Time 0.882 (1.772)	Data 0.000 (0.479)	Loss 1.9831 (1.8202)	Prec@1 20.000 (37.561)	Prec@5 80.000 (83.902)
Epoch: [0][60/308], lr: 0.00010	Time 0.871 (1.485)	Data 0.000 (0.322)	Loss 1.1655 (1.7326)	Prec@1 20.000 (39.016)	Prec@5 100.000 (85.574)
Epoch: [0][80/308], lr: 0.00010	Time 0.877 (1.340)	Data 0.008 (0.242)	Loss 2.7569 (1.7294)	Prec@1 20.000 (39.506)	Prec@5 60.000 (86.173)
Epoch: [0][100/308], lr: 0.00010	Time 0.888 (1.252)	Data 0.000 (0.194)	Loss 1.8787 (1.7049)	Prec@1 0.000 (38.812)	Prec@5 100.000 (87.327)
Epoch: [0][120/308], lr: 0.00010	Time 0.860 (1.193)	Data 0.000 (0.162)	Loss 1.2414 (1.6898)	Prec@1 40.000 (38.678)	Prec@5 100.000 (87.769)
Epoch: [0][140/308], lr: 0.00010	Time 0.860 (1.151)	Data 0.000 (0.139)	Loss 0.8599 (1.6546)	Prec@1 60.000 (39.433)	Prec@5 100.000 (87.518)
Epoch: [0][160/308], lr: 0.00010	Time 0.860 (1.119)	Data 0.000 (0.122)	Loss 1.0149 (1.6539)	Prec@1 40.000 (38.137)	Prec@5 100.000 (87.453)
Epoch: [0][180/308], lr: 0.00010	Time 0.860 (1.094)	Data 0.000 (0.108)	Loss 1.3840 (1.6520)	Prec@1 20.000 (37.901)	Prec@5 100.000 (87.845)
Epoch: [0][200/308], lr: 0.00010	Time 0.872 (1.074)	Data 0.000 (0.098)	Loss 2.1958 (1.6514)	Prec@1 40.000 (37.214)	Prec@5 80.000 (87.861)
Epoch: [0][220/308], lr: 0.00010	Time 0.869 (1.058)	Data 0.000 (0.089)	Loss 0.9852 (1.6441)	Prec@1 40.000 (36.742)	Prec@5 100.000 (88.054)
Epoch: [0][240/308], lr: 0.00010	Time 0.860 (1.044)	Data 0.000 (0.081)	Loss 0.6365 (1.6096)	Prec@1 60.000 (37.510)	Prec@5 100.000 (88.797)
Epoch: [0][260/308], lr: 0.00010	Time 0.868 (1.032)	Data 0.000 (0.075)	Loss 1.6548 (1.6063)	Prec@1 60.000 (37.318)	Prec@5 100.000 (89.119)
Epoch: [0][280/308], lr: 0.00010	Time 0.869 (1.022)	Data 0.000 (0.070)	Loss 3.7912 (1.6102)	Prec@1 0.000 (37.438)	Prec@5 40.000 (89.110)
Epoch: [0][300/308], lr: 0.00010	Time 0.862 (1.014)	Data 0.000 (0.065)	Loss 1.6194 (1.6066)	Prec@1 40.000 (37.674)	Prec@5 80.000 (89.169)
Epoch: [1][0/308], lr: 0.00010	Time 19.333 (19.333)	Data 18.998 (18.998)	Loss 1.6037 (1.6037)	Prec@1 20.000 (20.000)	Prec@5 100.000 (100.000)
Epoch: [1][20/308], lr: 0.00010	Time 0.922 (1.772)	Data 0.000 (0.905)	Loss 1.3724 (1.4508)	Prec@1 60.000 (38.095)	Prec@5 80.000 (92.381)
Epoch: [1][40/308], lr: 0.00010	Time 0.930 (1.343)	Data 0.000 (0.463)	Loss 1.8966 (1.5080)	Prec@1 20.000 (40.488)	Prec@5 80.000 (89.268)
Epoch: [1][60/308], lr: 0.00010	Time 0.938 (1.198)	Data 0.000 (0.311)	Loss 1.5558 (1.5018)	Prec@1 20.000 (38.689)	Prec@5 100.000 (89.836)
Epoch: [1][80/308], lr: 0.00010	Time 0.930 (1.124)	Data 0.000 (0.235)	Loss 1.7853 (1.5184)	Prec@1 20.000 (38.272)	Prec@5 80.000 (89.136)
Epoch: [1][100/308], lr: 0.00010	Time 0.921 (1.078)	Data 0.000 (0.188)	Loss 1.3564 (1.5054)	Prec@1 60.000 (38.020)	Prec@5 80.000 (89.703)
Epoch: [1][120/308], lr: 0.00010	Time 0.932 (1.047)	Data 0.000 (0.157)	Loss 1.7464 (1.5106)	Prec@1 40.000 (37.686)	Prec@5 80.000 (90.083)
Epoch: [1][140/308], lr: 0.00010	Time 0.922 (1.025)	Data 0.000 (0.135)	Loss 1.7136 (1.5172)	Prec@1 0.000 (37.305)	Prec@5 100.000 (90.071)
Epoch: [1][160/308], lr: 0.00010	Time 0.920 (1.009)	Data 0.000 (0.118)	Loss 1.6622 (1.5166)	Prec@1 40.000 (37.888)	Prec@5 100.000 (89.814)
Epoch: [1][180/308], lr: 0.00010	Time 0.922 (0.996)	Data 0.000 (0.105)	Loss 1.4359 (1.5024)	Prec@1 40.000 (38.011)	Prec@5 80.000 (90.276)
Epoch: [1][200/308], lr: 0.00010	Time 0.924 (0.986)	Data 0.000 (0.095)	Loss 1.4749 (1.5032)	Prec@1 60.000 (38.308)	Prec@5 80.000 (90.149)
Epoch: [1][220/308], lr: 0.00010	Time 0.921 (0.977)	Data 0.000 (0.086)	Loss 0.6578 (1.5036)	Prec@1 80.000 (38.190)	Prec@5 100.000 (90.317)
Epoch: [1][240/308], lr: 0.00010	Time 0.920 (0.970)	Data 0.000 (0.079)	Loss 1.5129 (1.4989)	Prec@1 20.000 (38.672)	Prec@5 100.000 (90.456)
Epoch: [1][260/308], lr: 0.00010	Time 0.930 (0.964)	Data 0.000 (0.073)	Loss 1.6103 (1.5055)	Prec@1 60.000 (38.851)	Prec@5 100.000 (90.498)
Epoch: [1][280/308], lr: 0.00010	Time 0.919 (0.959)	Data 0.000 (0.068)	Loss 1.6678 (1.5013)	Prec@1 20.000 (39.146)	Prec@5 100.000 (90.534)
