Epoch: [0][0/770], lr: 0.00010	Time 29.257 (29.257)	Data 19.330 (19.330)	Loss 2.4519 (2.4519)	Prec@1 0.000 (0.000)	Prec@5 100.000 (100.000)
Epoch: [0][20/770], lr: 0.00010	Time 0.214 (1.597)	Data 0.000 (0.920)	Loss 1.5753 (1.9689)	Prec@1 50.000 (40.476)	Prec@5 100.000 (85.714)
Epoch: [0][40/770], lr: 0.00010	Time 0.225 (0.926)	Data 0.000 (0.471)	Loss 1.3508 (1.8214)	Prec@1 50.000 (40.244)	Prec@5 100.000 (90.244)
Epoch: [0][60/770], lr: 0.00010	Time 0.223 (0.695)	Data 0.000 (0.317)	Loss 2.1461 (1.7228)	Prec@1 50.000 (41.803)	Prec@5 50.000 (90.984)
Epoch: [0][80/770], lr: 0.00010	Time 0.214 (0.577)	Data 0.000 (0.239)	Loss 2.2355 (1.7371)	Prec@1 50.000 (40.741)	Prec@5 50.000 (91.358)
Epoch: [0][100/770], lr: 0.00010	Time 0.226 (0.507)	Data 0.000 (0.191)	Loss 1.2598 (1.7408)	Prec@1 0.000 (39.109)	Prec@5 100.000 (90.594)
Epoch: [0][120/770], lr: 0.00010	Time 0.224 (0.460)	Data 0.000 (0.160)	Loss 2.5503 (1.6769)	Prec@1 50.000 (40.909)	Prec@5 50.000 (90.496)
Epoch: [0][140/770], lr: 0.00010	Time 0.225 (0.426)	Data 0.000 (0.137)	Loss 0.8092 (1.7037)	Prec@1 100.000 (40.071)	Prec@5 100.000 (90.780)
Epoch: [0][160/770], lr: 0.00010	Time 0.224 (0.400)	Data 0.000 (0.120)	Loss 0.6387 (1.6813)	Prec@1 100.000 (40.994)	Prec@5 100.000 (90.683)
Epoch: [0][180/770], lr: 0.00010	Time 0.214 (0.380)	Data 0.000 (0.107)	Loss 2.3491 (1.6852)	Prec@1 50.000 (41.436)	Prec@5 50.000 (90.055)
Epoch: [0][200/770], lr: 0.00010	Time 0.216 (0.365)	Data 0.000 (0.096)	Loss 1.0815 (1.6868)	Prec@1 100.000 (40.547)	Prec@5 100.000 (90.050)
Epoch: [0][220/770], lr: 0.00010	Time 0.226 (0.352)	Data 0.000 (0.088)	Loss 3.2018 (1.6955)	Prec@1 0.000 (39.819)	Prec@5 50.000 (89.367)
Epoch: [0][240/770], lr: 0.00010	Time 0.217 (0.341)	Data 0.000 (0.080)	Loss 1.0451 (1.6796)	Prec@1 50.000 (40.664)	Prec@5 100.000 (89.212)
Epoch: [0][260/770], lr: 0.00010	Time 0.224 (0.331)	Data 0.000 (0.074)	Loss 2.3689 (1.6830)	Prec@1 50.000 (39.655)	Prec@5 50.000 (88.697)
Epoch: [0][280/770], lr: 0.00010	Time 0.224 (0.324)	Data 0.000 (0.069)	Loss 0.6594 (1.6537)	Prec@1 100.000 (40.569)	Prec@5 100.000 (89.146)
Epoch: [0][300/770], lr: 0.00010	Time 0.224 (0.317)	Data 0.000 (0.064)	Loss 1.8926 (1.6718)	Prec@1 0.000 (39.203)	Prec@5 100.000 (88.372)
Epoch: [0][320/770], lr: 0.00010	Time 0.223 (0.311)	Data 0.000 (0.060)	Loss 0.8160 (1.6662)	Prec@1 50.000 (39.408)	Prec@5 100.000 (88.318)
Epoch: [0][340/770], lr: 0.00010	Time 0.214 (0.306)	Data 0.000 (0.057)	Loss 1.8956 (1.6789)	Prec@1 0.000 (38.563)	Prec@5 100.000 (88.563)
Epoch: [0][360/770], lr: 0.00010	Time 0.216 (0.301)	Data 0.000 (0.054)	Loss 1.2034 (1.6814)	Prec@1 50.000 (38.643)	Prec@5 100.000 (88.781)
Epoch: [0][380/770], lr: 0.00010	Time 0.222 (0.297)	Data 0.000 (0.051)	Loss 1.9860 (1.6844)	Prec@1 0.000 (37.795)	Prec@5 100.000 (88.845)
Epoch: [0][400/770], lr: 0.00010	Time 0.214 (0.293)	Data 0.000 (0.048)	Loss 1.6318 (1.6761)	Prec@1 0.000 (37.531)	Prec@5 100.000 (89.152)
Epoch: [0][420/770], lr: 0.00010	Time 0.213 (0.289)	Data 0.000 (0.046)	Loss 0.8624 (1.6667)	Prec@1 50.000 (37.173)	Prec@5 100.000 (89.549)
Epoch: [0][440/770], lr: 0.00010	Time 0.222 (0.286)	Data 0.000 (0.044)	Loss 0.9578 (1.6736)	Prec@1 50.000 (37.075)	Prec@5 100.000 (89.229)
